"Digi-Key Part Number","Customer Reference","Quantity","Unit Price","Extended Price"
"36-1065-ND","B1","6","2.16000","$12.96"
"RNCF0603AKT10R0CT-ND","R1","6","0.97000","$5.82"
"A130088CT-ND","R2,3,4,5,6","100","0.00900","$0.90"
"SML-D12U1WT86CT-ND","D1","10","0.16200","$1.62"
"511-1578-1-ND","D4","10","0.25100","$2.51"
"475-2486-1-ND","D6","10","0.25300","$2.53"
"67-1550-1-ND","D5","10","0.33700","$3.37"
"475-2816-1-ND","D3","10","0.31900","$3.19"
"36-5001-ND","","20","0.33500","$6.70"
"CKN5001-ND","","6","3.86000","$23.16"
"1878-1001-ND","PHOTON","6","19.28000","$115.68"
