"Digi-Key Part Number","Quantity","Description"
"RNCF0805AKT10R0CT-ND","1","RES 10 OHM 0.05% 1/8W 0805"
"1878-1001-ND","1","PHOTON WITHOUT HEADERS"
"311-330LRCT-ND","5","RES SMD 330 OHM 1% 1/16W 0402"
"846-1211-2-ND","0","LED GREEN-YELLOW CLEAR 1006 SMD"
"SML-D12U1WT86CT-ND","1","LED RED DIFFUSED 1608 SMD"
"511-1578-1-ND","1","LED GREEN DIFFUSED 0603 SMD"
"475-2486-1-ND","1","LED ORANGE DIFFUSED 0603 SMD"
"67-1550-1-ND","1","LED YELLOW DIFFUSED SMD"
"475-2816-1-ND","1","LED BLUE DIFFUSED 0603 SMD"
"36-5001-ND","10","PC TEST POINT MINIATURE BLACK"
"CKN5001-ND","1","SWITCH SLIDE SPDT 6A 120V"
